Simulation,Tiempo promedio,Autos r_0,Autos r_1,Autos r_2
1,46.068090787716955,1,1,26000
2,45.68899204244032,1,1,8000
3,45.86781229345671,1,1,14000
4,45.94074567243675,1,1,10000
5,45.81631299734748,1,1,20000
6,45.83443708609271,1,1,16000
7,45.68326693227092,1,1,8000
8,45.773209549071616,1,1,6000
9,45.52537903757416,1,1,24000
10,45.901595744680854,1,1,24000
11,45.642857142857146,1,1,22000
12,45.69179894179894,1,1,12000
13,45.654714475431604,1,1,14000
14,46.06187624750499,1,1,22000
15,45.98015873015873,1,1,22000
16,45.807180851063826,1,1,20000
17,45.82556591211718,1,1,20000
18,45.951527224435594,1,1,24000
19,45.796542553191486,1,1,24000
20,45.866622428666226,1,1,2000
